index,name,scope,active
1,Product Views (inactive),SESSION,1
2,Page Type,HIT,1
3,Search Results,HIT,1
4,Campaign (inactive),HIT,1
5,BuyNowButtonStatus (inactive),HIT,1
6,Internal Traffic,HIT,1
7,Brand,HIT,1
8,ModelDName,HIT,1
9,ProductNumberCode,HIT,1
10,ProdLineBusinessArea,HIT,1
11,ProdSubGrpName,HIT,1
12,ProdSubGrpNumerical,HIT,1
13,ProdGrpName,HIT,1
14,ProdLineName,HIT,1
15,ProdGrpAlphabetical,HIT,1
16,Device Orientation,SESSION,1
17,ABN Group,HIT,1
18,EML,HIT,1
19,Product rating: Avg Rating,HIT,1
20,Product rating: Number of review,HIT,1
