index,name,scope,active
1,Product Views (inactive),SESSION,1
2,Page Type,HIT,1
3,Search Results,HIT,1
4,Campaign (inactive),HIT,1
5,BuyNowButtonStatus (inactive),HIT,1
6,Internal Traffic,HIT,1
7,Brand,HIT,1
8,ModelDName,HIT,1
9,ProductNumberCode,HIT,1
10,ProdLineBusinessArea,HIT,1
11,ProdSubGrpName,HIT,1
12,ProdSubGrpNumerical,HIT,1
13,ProdGrpName,HIT,1
14,ProdLineName,HIT,1
15,ProdGrpAlphabetical,HIT,1
16,Device Orientation,SESSION,1
17,ABN Group,HIT,1
18,EML,HIT,1
19,Product rating: Avg Rating,HIT,1
20,Product rating: Number of review,HIT,1
21,Product Page: Number of online retailers,HIT,1
22,CTID,SESSION,1
23,CTHM,HIT,1
24,Page Type - including Sub-Category,HIT,1
25,Product Page: Number of Media Gallery items,HIT,1
26,Log In Status,SESSION,1
27,Product Page: Retailer Map Present,HIT,1
28,Product Page: Online Retailer Positions,HIT,1
29,Article ID,HIT,1
